indice,registro_uso,registro_uso_usuario,codigo,nome,observa
1030,N,NULL,4-1030,GARRA,NULL
1031,N,NULL,4-1031,KIC TECH,NULL
1032,N,NULL,4-1032,TARANTO,NULL
1033,N,NULL,4-1033,JKS,NULL
1034,N,NULL,4-1034,TILIBRA,NULL
1035,N,NULL,4-1035,KALVA,NULL
1036,N,NULL,4-1036,AC DELCO,NULL
1037,N,NULL,4-1037,DEPAULA,NULL
1038,N,NULL,4-1038,VACLEI,NULL
1040,N,NULL,4-1040,MTE,NULL
1041,N,NULL,4-1041,CLICK,NULL
1042,N,NULL,4-1042,CARCETEC,NULL
1043,N,NULL,4-1043,QUARTZ,NULL
1044,N,NULL,4-1044,RPA,NULL
1045,N,NULL,4-1045,BUTUEM,NULL
1046,N,NULL,4-1046,GONEL,NULL
1047,N,NULL,4-1047,VINHEPAR,NULL
1048,N,NULL,4-1048,WURTH,NULL
1050,N,NULL,4-1050,ELFMATIC,NULL
1051,N,NULL,4-1051,STP,NULL
1052,N,NULL,4-1052,UNIVERSAL,NULL
1053,N,NULL,4-1053,TRICK,NULL
1054,N,NULL,4-1054,USADO,NULL
1055,N,NULL,4-1055,DESMANCHE,NULL
1056,N,NULL,4-1056,FANIA,NULL
1057,N,NULL,4-1057,TOTAL,NULL
1058,N,NULL,4-1058,ALAKAR,NULL
1059,N,NULL,4-1059,DEKKO,NULL
1060,N,NULL,4-1060,CARCETEC,NULL
1061,N,NULL,4-1061,TUBA,NULL
1062,N,NULL,4-1062,ORIGINAL//FORD,NULL
1063,N,NULL,4-1063,KIC TECH,NULL
1064,N,NULL,4-1064,ALBARUS SPCEIR,NULL
1066,N,NULL,4-1066,TREMAG,NULL
1067,N,NULL,4-1067,BND,NULL
1068,N,NULL,4-1068,SHOPPING DAS BORRACHAS,NULL
1069,N,NULL,4-1069,3RH,NULL
1075,N,NULL,6-1075,FLORIO,NULL
1071,N,NULL,4-1071,ALEN,NULL
1072,N,NULL,4-1072,HELBERT,NULL
1073,N,NULL,4-1073,KONTACT,NULL
1076,N,NULL,4-1076,SHOPPIN/MR,NULL
1077,N,NULL,6-1077,SAMPEL,NULL
1079,N,NULL,4-1079,SPEED BRAKE,NULL
1080,N,NULL,6-1080,KYB DO BRASIL,NULL
1081,N,NULL,4-1081,SLIM,NULL
1082,N,NULL,4-1082,REVIAM,NULL
1083,N,NULL,4-1083,METALVIS,NULL
1084,N,NULL,6-1084,EXPOINTER,NULL
1085,N,NULL,6-1085,MAN FILTER,NULL
1086,N,NULL,6-1086,PNEU CONTINENTAL,NULL
1087,N,NULL,6-1087,BANI,NULL
1088,N,NULL,4-1088,MAHLE,NULL
1089,N,NULL,4-1089,ECO FILTER,NULL
1090,N,NULL,4-1090,BAKCEL,NULL
1091,N,NULL,6-1091,SPICER,NULL
1096,N,NULL,4-1096,KOYO,NULL
1097,N,NULL,4-1097,ARCA,NULL
1099,N,NULL,4-1099,DELINTE,NULL
1100,N,NULL,4-1100,RECLIN,NULL
1101,N,NULL,4-1101,MG FREIOS,NULL
1102,N,NULL,4-1102,MASTER,NULL
1103,N,NULL,6-1103,JURID,NULL
1104,N,NULL,4-1104,3RH,NULL
1105,N,NULL,4-1105,NYTRON,NULL
1106,N,NULL,4-1106,MASTER ORIGINAL,NULL
1107,N,NULL,4-1107,IMPORTADO,NULL
1108,N,NULL,6-1108,EXPEDIBOR,NULL
1109,N,NULL,6-1109,BROKIT S,NULL
1110,N,NULL,4-1110,AJE,NULL
1112,N,NULL,6-1112,MB,NULL
1113,N,NULL,6-1113,IMPERIUM ACESSORIOS,NULL
1114,N,NULL,4-1114,ISA,NULL
1115,N,NULL,6-1115,SKYLL,NULL
1116,N,NULL,6-1116,PNEU-KUMHO,NULL
1117,N,NULL,6-1117,SUSPEX,NULL
1118,N,NULL,6-1118,MOROE,NULL
1119,N,NULL,6-1119,TOYOTA,NULL
1120,N,NULL,6-1120,ROLTENS,NULL
1121,N,NULL,6-1121,REALBOR,NULL
1123,N,NULL,6-1123,KITECIA,NULL
1124,N,NULL,6-1124,KIT E CIA,NULL
1125,N,NULL,4-1125,AUTOTEC,NULL
1127,N,NULL,4-1127,MR COMERCIAL,NULL
1130,N,NULL,6-1130,SACHS,NULL
1132,N,NULL,4-1132,JAPANPARTS,NULL
1134,N,NULL,6-1134,BFX,NULL
1135,N,NULL,4-1135,SUPRENS,NULL
1136,N,NULL,6-1136,KNA AUTOMOTIVOS,NULL
1137,N,NULL,6-1137,APA (ALMEIDA PECAS AUTOMOTIVAS),NULL
1138,N,NULL,4-1138,RECONDICIONADO,NULL
1139,N,NULL,6-1139,MAZZICAR,NULL
1140,N,NULL,4-1140,ORIGINAL PARTS,NULL
1142,N,NULL,4-1142,VETOR,NULL
1144,N,NULL,4-1144,DEW PARTS,NULL
1145,N,NULL,6-1145,SEINECA,NULL
1146,N,NULL,6-1146,KYLL,NULL
1147,N,NULL,4-1147,IRB,NULL
1148,N,NULL,4-1148,IRB,NULL
1149,N,NULL,4-1149,AC DELCO - ORIGINAL,NULL
1150,N,NULL,4-1150,4X4,NULL
1151,N,NULL,4-1151,TSA,NULL
1153,N,NULL,4-1153,DELPHI,NULL
1154,N,NULL,6-1154,DXLUB,NULL
1155,N,NULL,6-1155,LRB,NULL
1156,N,NULL,6-1156,TUPER,NULL
1157,N,NULL,6-1157,GAXETAS QUALITY,NULL
1158,N,NULL,6-1158,UNIPARTS,NULL
1159,N,NULL,6-1159,VOLKSWAGEN,NULL
1160,N,NULL,4-1160,RODIPEL,NULL
1161,N,NULL,4-1161,NEOLUX,NULL
1162,N,NULL,4-1162,OSRAM,NULL
1163,N,NULL,4-1163,PAT,NULL
1164,N,NULL,4-1164,IBTF,NULL
1165,N,NULL,6-1165,AUTOMIX,NULL
1166,N,NULL,4-1166,VP,NULL
1167,N,NULL,6-1167,MECPAR,NULL
1168,N,NULL,6-1168,GT OIL,NULL
1170,N,NULL,6-1170,TAN CLICK,NULL
1171,N,NULL,6-1171,WM COMERCIO DE PECAS AUTOMOTIVAS,NULL
1172,N,NULL,6-1172,VIA BRASIL,NULL
1173,N,NULL,4-1173,ALLKAR,NULL
1174,N,NULL,6-1174,ALLEN SHOCKS,NULL
1175,N,NULL,6-1175,WEGA,NULL
1176,N,NULL,6-1176,SCAPEX,NULL
1177,N,NULL,6-1177,L.FLEX,NULL
1178,N,NULL,4-1178,RENAULT,NULL
1179,N,NULL,6-1179,LEMFORDER,NULL
1180,N,NULL,6-1180,MICHELIN,NULL
1182,N,NULL,4-1182,GREEN PASTS,NULL
1183,N,NULL,4-1183,ANE,NULL
1184,N,NULL,6-1184,CHEVROLET,NULL
1186,N,NULL,4-1186,KMF,NULL
1187,N,NULL,4-1187,PETROBRAS,NULL
1188,N,NULL,6-1188,RV EXTRA,NULL
1189,N,NULL,4-1189,CICARELLI,NULL
1190,N,NULL,6-1190,GETOFLEX,NULL
