id,id_empresa,nome
1295,4,ELRING
1297,6,LOCTITE
1298,6,MARBO COMERCIAL
1299,4,SBAL
1300,4,ISAPA
1303,6,BRIDGESTONE
1304,6,SUSPEX
1305,6,POLYMAX
1306,4,TIMKEN
1307,4,DBH
1308,4,RUBBER
1309,6,LUK
1310,4,DPA
1311,4,BRAZIMETAL
1312,4,COMPASAL
1313,4,AUTOPARTS
1314,6,TIGER
1315,4,INDISA
1316,4,KOM
1319,6,FILTROS BRASIL
1320,4,EAGLEYE
1321,4,MUNDIAL PRIME
1322,4,LANVIGATOR
1324,4,LANDSAIL
1325,4,DS
1326,4,MENIL
1327,4,MALHE
1328,6,MILITEC
1329,6,SYNTEX
1330,6,MOBILLE
1331,4,GE
1332,4,PREMIUM
1333,4,BILSTEIN
1334,4,RADNAQ
1345,6,IGASA
1346,6,MOTORCRAFT
1347,4,RIOSULENSE
1348,4,MARFLEX
1349,6,ULYBREA
1350,4,NOTUS
1351,4,BRASNI
1352,4,DNK
1356,6,PANSTAV
1357,6,GRID CALOTAS
1359,6,IGE
1367,4,ELITE
1371,4,JAHU ORIGINAL
1372,4,JEEP ORIGINAL
1374,6,MOPAR
1375,6,MOPPAR ORIGINAL FIAT
1376,4,INCOL
1378,6,IGUACU
1382,4,RAID
1385,6,JUNTAS SANTA CRUZ
1387,6,INDEBRAS
1388,6,DUGUI
1389,6,DMX BRASIL
1391,6,CABOVEL
1392,4,HI TEC
1393,4,ENERGY
1394,6,SELENIA 5W30
1395,6,DE-SIL
1396,4,NACIONAL
1399,6,KTB
1400,4,TECH ONE
1411,4,IGE ESCAPAMENTOS
1421,6,GAUSS
1422,6,RAINHA DA SETAS
1423,4,DUREX
1424,4,CAR80
1425,6,AVX
1426,4,RFLEX
1427,4,APLIC
1428,4,CATERP
1432,4,BATER LIFE IND
1438,6,PHILIPS
1441,4,MARVINI
1442,4,MCH
1447,4,ORIGINAL TOYOTA
1448,4,TUVER
1450,4,MICRONAIR
1451,4,MAX CABOS
1455,6,CGD
1456,4,ONYX
1457,6,NEWMAX
1458,6,LUBRI MOTORS
1459,4,PONSTAV
1460,4,DRIFT
1461,4,SUNFULL
1462,4,THREE-A
1463,4,DURALAST
1464,6,AMORTEX
1466,4,TRIUNFO
1467,4,LEVORIN
1468,4,MAXTREK
1469,4,MAXTREK
1470,4,IZAPA
1471,4,MA2O
1473,4,SKP
1474,4,NOTUS
1475,4,GET OIL
1476,4,BARDAHL
1477,4,KPA
1478,4,3B
1479,4,BORGWARNER
1481,4,VALCLEI
1482,4,AMPERA
1483,4,INCOL LUB
1485,1485,DURABLE
1486,1486,THREE-A
1487,1487,POWER FLUSH 12
1488,1488,JUPITER
1489,1489,BROKIT S
1490,1490,ANEL
1491,1491,ROLT
1492,1492,ORIGINAL FORD
1494,1494,METAL BRASIL
1496,1496,GRENA
1497,1497,PG
1498,1498,MOBENSANI
1499,1499,RTA
1501,1501,ANELLI
1502,1502,TECPADS
1503,1503,SAMKIT
1504,1504,ORG
1505,1505,KITSBOR
1506,1506,MILTPARTS
1508,1508,VISA
1509,1509,OMEGA
1511,1511,RICAMBI ORIGINALI
1513,1513,HAVOLINE
1516,1516,RUVILLE
1517,1517,GENERAL
1518,1518,IRPEL
1519,1519,AUTOMOTIVA
1520,1520,SABRINI
1521,1521,PNEU IMPORTADO
1522,1522,NEWPARTS
1523,1523,KN
1524,1524,DSI
1525,1525,LUMIX
1527,1527,HELIAR
1528,1528,4 X 4
1529,1529,BOSH
1530,1530,OMNICRAFT
1531,1531,MERITOR
1532,1532,MOBI KITS
1533,1533,FAMA
1535,1535,SBT
1536,1536,MIBRA
1537,1537,3RHO
1538,1538,DENSO
1539,1539,MAK
1542,1542,VIKING
1543,1543,ROLES
1545,1545,LAMM
1546,1546,CASTROL
1547,1547,DLS
1548,1548,HALOGENA
1549,1549,TEXACO
1550,1550,PETROL
1551,1551,CRALL
1552,1552,ZEN
1553,1553,PIONEIRO
1554,1554,PREMIER
1555,1555,BASFORD
1556,1556,HELICORDIAL
1557,1557,NTK
1558,1558,VALVOLINE
1559,1559,KAYABA
